post_id,user_id,content,likes,shares,comments,timestamp,user_ltv
1,101,"Just tried the new RealityPlus headset; and it's amazing! #Future #OmniCo",150,20,10,2023-10-21 14:23:00,85.75
2,102,"Feeling a bit triggered by all the surveillance tech in EmotiSense. Privacy is key OmniCo!",60,5,3,2023-10-21 15:45:10,40.50
3,103,"Depressed about the state of technology. Is OmniCo really helping?",30,2,0,2023-10-21 16:12:34,20.00
4,104,"Excited to connect with friends in the immersive RealityPlus world! #Excited",200,30,25,2023-10-21 17:05:50,120.00
5,105,"Frustrated with the data collection in EmotiSense. Concerns about privacy.",45,4,6,2023-10-21 18:14:29,55.25
6,106,"Innovation at its best! OmniCo's new products are futuristic and beyond.",90,12,7,2023-10-21 19:30:00,70.80
7,107,"Feeling overwhelmed by the new EmotiSense features. Too much emotion tracking!",50,8,9,2023-10-21 20:45:15,65.00
8,108,"OmniCo does it again! The RealityPlus is simply amazing. I'm obsessed!",180,25,20,2023-10-21 21:55:45,110.40
9,109,"Anxious about how much data OmniCo is collecting with EmotiSense.",70,6,5,2023-10-21 22:10:50,52.30
10,110,"Inspired by the breakthroughs OmniCo is making in virtual reality.",100,14,12,2023-10-21 23:20:05,95.50
11,111,"Just got my hands on RealityPlus. The immersive experience is unbelievable!",130,18,15,2023-10-22 09:15:30,88.00
12,112,"Not sure how I feel about EmotiSense reading my mood all the time. Feels intrusive.",40,3,4,2023-10-22 10:25:50,47.60
13,113,"So happy with the new updates from OmniCo! RealityPlus is a game-changer.",160,22,19,2023-10-22 11:35:10,99.90
14,114,"Sad to see technology taking over real emotions. EmotiSense is too much.",25,1,2,2023-10-22 12:45:30,35.75
15,115,"Frustrated and triggered by the constant data collection. Privacy matters!",55,5,7,2023-10-22 13:55:50,60.20
16,116,"RealityPlus is so futuristic! Can't wait to see what's next from OmniCo.",110,16,13,2023-10-22 15:05:10,80.40
17,117,"Really concerned about the surveillance aspect of EmotiSense.",35,2,3,2023-10-22 16:15:30,42.50
18,118,"Overwhelmed with joy using RealityPlus. It's an amazing innovation.",140,20,17,2023-10-22 17:25:50,92.80
19,119,"I'm obsessed with the immersive worlds OmniCo is creating!",125,15,14,2023-10-22 18:35:10,85.35
20,120,"Feeling anxious about how much emotion data EmotiSense collects.",65,7,6,2023-10-22 19:45:30,58.60